Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1084.4498	608.6179	-316.72324	-2241.1548	256.0	0.0	256.0	256.0	0.0021640281	0.009285326	0.07342472	-0.06344335	5120	-9.313226e-09	1546450.9	-0.0022587902	-1243468.8	5.444744	0.0024321317	0.03359375	79.0	-1047.9882	36.461784	36.461784	225.5862512588501
1	-1071.1879	764.2039	-97.94504	-3535.2495	256.0	0.0	256.0	256.0	-1069.9302	301.6436	-706.3923	-1700.1771	10240	-4.5634807e-09	452862.7	-0.0016116566	-29177.25	5.378703	0.0016299667	0.00234375	79.0	-1009.3114	61.876366	61.876366	434.1160809993744
2	-1007.2669	649.7811	-240.06654	-2699.9004	256.0	0.0	256.0	256.0	-1057.4479	355.97293	-677.8187	-1887.2986	15360	5.5879357e-10	301644.9	-0.003171584	-8575.75	5.3708544	0.003576591	0.024414062	79.0	-944.46906	62.79783	62.79783	641.1812214851379
3	-1027.9752	502.39987	-373.21936	-2246.2415	256.0	0.0	256.0	256.0	-1047.2607	369.96878	-654.27734	-1859.3613	20480	-1.4808029e-08	202743.34	-0.0013795751	-21331.61	5.442938	-0.0004604413	0.001953125	79.0	-970.03955	57.93563	57.93563	850.114981174469
4	-692.8765	369.29846	-236.02248	-1761.0138	256.0	0.0	256.0	256.0	-927.01355	175.54793	-784.1325	-1642.6465	25600	-2.2165477e-08	146063.75	-0.0022770106	-56864.875	5.211066	0.0017245924	0.023242187	79.0	-663.4902	29.386362	29.386362	1057.8309395313263
5	-875.4714	362.78326	-130.94736	-1810.017	256.0	0.0	256.0	256.0	-780.6752	265.27252	-525.4668	-1528.2642	30720	-1.7695129e-08	141702.53	-0.0029535876	-28116.922	5.361159	0.0024034274	0.039257813	79.0	-833.0414	42.43006	42.43006	1266.6334483623505
6	-760.8366	296.39062	-356.54147	-1307.703	256.0	0.0	256.0	256.0	-861.24414	128.37225	-715.0217	-1300.1967	35840	6.2165784e-09	80944.805	-0.0024449688	-10955.711	5.263735	0.0020697897	0.010546875	79.0	-711.4302	49.406406	49.406406	1475.7089936733246
7	-808.0214	435.13254	-283.18845	-1995.1504	256.0	0.0	256.0	256.0	-757.58826	135.59517	-640.739	-1199.8986	40960	-1.7601996e-08	151407.44	-0.0027701976	-10752.734	5.2108693	0.0016649857	0.023046875	79.0	-763.8048	44.21667	44.21667	1679.9065401554108
8	-705.55493	474.45056	-251.31958	-2166.1045	256.0	0.0	256.0	256.0	-788.1108	212.71208	-639.548	-1554.3928	46080	8.475036e-09	166951.38	-0.0046372884	-11554.781	5.059246	0.0047863172	0.045898438	79.0	-677.86365	27.691233	27.691233	1887.9792716503143
9	-645.03076	206.22334	-373.458	-1085.4128	256.0	0.0	256.0	256.0	-702.99207	183.50432	-539.4206	-1579.2754	51200	-3.7252903e-09	46844.938	-0.0030261711	-12286.492	5.2321396	0.0042023137	0.03730469	79.0	-608.7714	36.259315	36.259315	2094.94539475441
10	-590.8956	278.64767	-212.76674	-1276.1042	256.0	0.0	256.0	256.0	-625.3983	73.664925	-521.76465	-1128.6644	56320	1.9557773e-09	66833.125	-0.0025871075	-5872.039	5.0599375	0.00081698067	0.0140625	79.0	-558.81085	32.084816	32.084816	2320.117950439453
11	-499.07022	218.63878	-147.31992	-971.1699	256.0	0.0	256.0	256.0	-592.67566	137.59279	-474.15854	-1254.3593	61440	4.0046872e-09	40797.543	-0.0050238734	-9233.299	5.0580506	0.005641439	0.04941406	79.0	-450.56464	48.505665	48.505665	2525.8479902744293
12	-460.969	194.48476	-96.70504	-893.741	256.0	0.0	256.0	256.0	-494.6604	116.76533	-392.68127	-1108.3595	66560	1.4761463e-08	33260.875	-0.0049226875	-2366.4805	5.024457	0.0039526587	0.018554688	79.0	-430.03198	30.936996	30.936996	2731.7667360305786
13	-593.4477	335.28702	-205.50229	-1650.5278	256.0	0.0	256.0	256.0	-490.28937	124.14987	-384.42236	-954.1053	71680	-1.6763806e-09	80383.266	-0.0034087969	-25007.023	5.1796393	0.0024910613	0.024804687	79.0	-564.8841	28.563578	28.563578	2935.0687007904053
14	-444.79086	172.09402	-213.97116	-732.6577	256.0	0.0	256.0	256.0	-521.7162	142.52182	-420.1951	-1398.1182	76800	1.3061799e-08	32876.508	-0.004147616	-10009.082	4.911117	0.0020610534	0.0203125	79.0	-392.92545	51.86548	51.86548	3139.054248571396
